MaxTenuringThreshold,ParallelGCThreads,avgGCPause,avgPromotion,promotionTotal,totalHeapUsedMaxpc,totalHeapUsedMax,totalYoungUsedMax,totalYoungUsedMaxpc,totalTenuredUsedMax
7,20,0.01131,-130560.0,-261120.0,49.2,2408.0,2249.87,58.0,158.229
10,8,0.01266,2985.333,8956.0,48.9,2457.0,2299.308,57.3,166.214
16,16,0.01148,-22016.0,-44032.0,51.3,2505.0,2347.463,60.7,158.2
10,4,0.00958,191.5,383.0,52.7,2570.0,2412.071,62.3,158.203
16,20,0.01116,-182272.0,-364544.0,51.1,2500.0,2342.577,60.4,158.229
4,4,0.00951,283.0,566.0,50.1,2441.0,2283.381,59.0,158.218
13,8,0.01375,2498.667,7496.0,50.7,2543.0,2385.02,59.6,166.234
4,20,0.01308,-403968.0,-807936.0,54.1,2643.0,2484.884,64.2,158.202
13,4,0.01102,2906.667,8720.0,50.2,2512.0,2354.233,58.9,166.197
1,24,0.01219,-103424.0,-206848.0,51.0,2488.0,2330.604,60.3,158.227
7,4,0.01079,2334.333,7003.0,50.3,2521.0,2363.042,59.0,166.18
16,8,0.0114,2830.0,8490.0,48.2,2418.0,2260.423,56.4,166.258
1,20,0.01626,2509.667,7529.0,49.7,2485.0,2327.465,58.3,166.257
10,16,0.01015,11.0,22.0,50.1,2462.0,2304.74,59.1,158.213
16,4,0.00913,361.0,722.0,51.7,2526.0,2368.682,61.1,158.196
10,20,0.01129,-73216.0,-146432.0,51.3,2520.0,2362.16,60.5,158.216
4,24,0.01105,-347136.0,-694272.0,53.0,2593.0,2435.142,62.7,158.189
13,16,0.00996,-70144.0,-140288.0,55.5,2720.0,2562.31,65.8,158.223
7,24,0.01094,-317440.0,-634880.0,56.0,2745.0,2587.214,66.5,158.232
13,20,0.01069,-233472.0,-466944.0,53.7,2629.0,2471.44,63.7,158.207
1,4,0.01128,205.5,411.0,51.0,2503.0,2345.606,60.2,158.213
10,24,0.01236,-39424.0,-78848.0,54.8,2678.0,2520.656,65.1,158.193
10,12,0.01163,310.0,620.0,51.0,2508.0,2350.515,60.2,158.186
13,24,0.01553,48.5,97.0,55.2,2698.0,2540.751,65.5,158.2
13,12,0.00879,160.5,321.0,52.9,2578.0,2420.372,62.6,158.188
16,24,0.01125,-318976.0,-637952.0,52.1,2543.0,2385.252,61.6,158.194
16,12,0.01296,2618.667,7856.0,47.8,2395.0,2237.379,55.9,166.187
7,16,0.00948,-5632.0,-11264.0,52.5,2565.0,2407.071,62.1,158.175
1,12,0.01417,2530.333,7591.0,49.2,2464.0,2306.525,57.6,166.238
4,16,0.01126,-52736.0,-105472.0,51.0,2511.0,2353.71,60.3,158.177
4,12,0.01354,2835.333,8506.0,49.4,2476.0,2318.63,57.8,166.229
1,16,0.01083,14.0,28.0,51.6,2519.0,2361.517,60.9,158.181
7,12,0.01051,233.0,466.0,51.5,2518.0,2360.32,60.9,158.229
1,8,0.01394,2609.333,7828.0,49.5,2485.0,2327.304,57.9,166.291
7,8,0.01093,2610.0,7830.0,49.2,2473.0,2315.037,57.6,166.251
4,8,0.02374,2751.333,8254.0,49.9,2509.0,2351.067,58.5,166.189
