MaxTenuringThreshold,ParallelGCThreads,avgGCPause,avgPromotion,promotionTotal,totalHeapUsedMaxpc,totalHeapUsedMax,totalYoungUsedMax,totalYoungUsedMaxpc,totalTenuredUsedMax
1,8,0.0107,113.5,227.0,67.1,2494.0,2336.251,86.2,158.189
7,24,0.01116,-311296.0,-622592.0,66.8,2483.0,2325.457,85.8,158.202
16,8,0.0087,-27136.0,-54272.0,69.0,2565.0,2407.378,88.8,158.213
1,20,0.0099,-205312.0,-410624.0,65.7,2442.0,2284.467,84.3,158.229
16,4,0.01132,2703.333,8110.0,66.4,2467.0,2309.147,85.2,166.206
4,24,0.01018,-295936.0,-591872.0,67.8,2521.0,2363.393,87.2,158.197
13,8,0.01169,7363.0,21.571,64.7,2404.0,2246.513,82.9,179.617
4,20,0.01165,-153600.0,-307200.0,65.6,2440.0,2281.911,84.2,158.178
13,4,0.01212,2843.667,8531.0,67.3,2503.0,2345.099,86.5,166.192
7,8,0.00824,299.0,598.0,66.5,2473.0,2315.564,85.4,158.221
1,24,0.01001,-223744.0,-447488.0,66.2,2461.0,2303.675,85.0,158.192
7,20,0.0115,116.5,233.0,66.3,2465.0,2307.708,85.2,158.212
10,8,0.01245,2807.0,8421.0,64.7,2404.0,2246.341,82.9,166.185
10,4,0.01172,3112.0,9336.0,65.8,2446.0,2288.261,84.4,168.465
4,8,0.00834,69.0,138.0,67.4,2505.0,2347.146,86.6,158.194
7,12,0.0095,77.5,155.0,68.0,2530.0,2372.59,87.5,158.225
16,12,0.00973,-68608.0,-137216.0,67.4,2505.0,2346.944,86.6,158.211
16,24,0.00879,-385024.0,-770048.0,68.1,2531.0,2372.881,87.6,158.2
4,12,0.00997,9216.0,18.0,68.5,2545.0,2386.978,88.1,158.185
1,16,0.00928,-3072.0,-6144.0,68.2,2537.0,2379.586,87.8,158.234
1,12,0.01132,86.0,172.0,67.7,2517.0,2359.659,87.1,158.188
10,12,0.01505,6705.667,19.646,68.1,2533.0,2374.933,87.6,178.479
4,16,0.01336,3019.667,9059.0,65.3,2427.0,2269.42,83.7,167.074
10,24,0.02002,1355.667,8134.0,64.7,2407.0,2249.646,83.0,166.298
13,12,0.01002,-419840.0,-839680.0,69.1,2569.0,2410.793,89.0,158.21
7,16,0.01165,-63488.0,-126976.0,65.6,2440.0,2282.415,84.2,158.224
13,24,0.00901,-339968.0,-679936.0,67.3,2501.0,2343.233,86.5,158.229
10,20,0.00962,176.5,353.0,66.9,2489.0,2331.435,86.0,158.201
4,4,0.00896,397.0,794.0,67.1,2493.0,2335.566,86.2,158.181
10,16,0.00966,-309248.0,-618496.0,67.8,2522.0,2363.976,87.2,158.214
13,20,0.00906,365.0,730.0,66.0,2453.0,2295.777,84.7,158.21
7,4,0.01149,2918.0,8754.0,67.2,2499.0,2341.197,86.4,166.196
13,16,0.00984,-1536.0,-3072.0,67.7,2518.0,2360.771,87.1,158.189
16,20,0.01022,-260608.0,-521216.0,66.2,2462.0,2304.339,85.0,158.188
16,16,0.01099,26.0,52.0,66.0,2454.0,2296.484,84.7,158.231
1,4,0.01028,-29696.0,-59392.0,64.8,2408.0,2250.375,83.0,158.213
