MaxTenuringThreshold,ParallelGCThreads,avgGCPause,avgPromotion,promotionTotal,totalHeapUsedMaxpc,totalHeapUsedMax,totalYoungUsedMax,totalYoungUsedMaxpc,totalTenuredUsedMax
16,4,0.01004,4772.833,55.932,49.3,830.0,672.5,102.1,178.008
16,8,0.00845,3764.333,44.113,49.3,830.0,672.5,102.1,175.042
1,20,0.00875,6103.25,71.522,49.4,833.0,672.272,102.1,190.824
4,24,0.01219,5840.545,62.74,50.6,852.0,677.493,100.0,181.604
7,24,0.0129,4701.364,50.503,50.5,851.0,677.492,100.0,175.75
10,4,0.00858,4013.167,47.029,50.1,845.0,677.495,100.0,177.253
7,20,0.01017,4909.071,67.116,50.7,855.0,677.493,100.0,179.756
10,8,0.0084,4905.0,57.48,49.5,834.0,672.5,102.1,184.447
13,4,0.01048,4643.833,54.42,49.4,832.0,672.5,102.1,182.059
13,8,0.0094,4305.583,50.456,50.3,847.0,677.494,100.0,175.58
4,20,0.00978,4600.308,58.402,50.6,853.0,677.49,100.0,180.563
1,24,0.01254,4599.636,49.41,50.4,850.0,677.492,100.0,176.189
1,8,0.00878,4121.692,52.326,48.3,793.0,635.0,102.0,179.413
7,8,0.00843,4495.769,57.075,49.3,830.0,672.193,99.2,179.259
4,8,0.00925,4813.583,56.409,50.4,850.0,677.494,100.0,178.518
4,12,0.00744,5152.0,55.344,50.6,853.0,677.328,100.0,181.193
4,4,0.00891,3908.583,45.804,50.2,846.0,677.223,100.0,174.67
1,16,0.00765,4070.308,51.674,48.8,811.0,653.5,102.1,177.876
16,16,0.0098,6171.5,72.322,50.6,853.0,677.493,100.0,181.663
7,12,0.01,4478.0,48.104,50.4,850.0,677.486,100.0,176.513
16,20,0.01,4690.545,50.387,50.4,850.0,677.493,100.0,175.612
7,4,0.01013,4325.667,50.691,50.4,849.0,677.495,100.0,177.772
13,16,0.00959,5964.333,69.895,50.6,852.0,677.493,100.0,182.654
13,20,0.01013,4887.615,62.05,50.4,850.0,677.494,100.0,181.915
7,16,0.00817,4446.917,52.112,50.4,849.0,677.493,100.0,177.422
10,16,0.00858,4870.5,57.076,50.3,848.0,677.458,100.0,181.27
1,12,0.00722,4406.083,51.634,48.9,813.0,653.5,102.1,178.613
10,20,0.00862,4716.583,55.272,50.3,848.0,677.493,100.0,176.899
1,4,0.00998,4109.833,48.162,48.8,811.0,653.5,102.1,177.45
4,16,0.00973,4826.25,56.558,50.5,851.0,677.485,100.0,179.267
13,24,0.01119,4934.769,62.648,50.9,858.0,677.493,100.0,189.818
13,12,0.00881,5239.917,61.405,49.3,830.0,672.5,102.1,180.814
10,24,0.01088,6751.182,72.522,51.0,860.0,677.319,100.0,186.797
10,12,0.00947,4900.909,52.646,50.2,846.0,677.494,100.0,178.826
16,24,0.01142,6299.455,67.67,50.8,856.0,677.487,100.0,188.23
16,12,0.0082,5824.917,68.261,49.6,835.0,672.5,102.1,182.604
