MaxTenuringThreshold,ParallelGCThreads,avgGCPause,avgPromotion,promotionTotal,totalHeapUsedMaxpc,totalHeapUsedMax,totalYoungUsedMax,totalYoungUsedMaxpc,totalTenuredUsedMax
7,20,0.01131,0.8078110255495372,0.729143131835116,0.06572769953051694,0.698227410289667,0.700512000541368,0.04458598726114649,0.0016539557107417835
10,8,0.01266,0.990236946153035,0.9996194367664143,0.05164319248826299,0.719412019022914,0.7219576353495966,0.02972399150743099,0.2462249992342791
16,16,0.01148,0.9560845644382834,0.9465528982894684,0.164319248826291,0.740164288802421,0.7428467195396984,0.10191082802547768,0.0007657202364539373
10,4,0.00958,0.9864205076030077,0.991033729920282,0.23004694835680795,0.7682663207955037,0.7708729255692714,0.13588110403397025,0.0008576066648284808
16,20,0.01116,0.7371712735317855,0.6255658374394104,0.15492957746478897,0.7380025940337224,0.7407272290329423,0.09554140127388533,0.0016539557107417835
4,4,0.00951,0.9865454986555607,0.9912170011617194,0.10798122065727744,0.7124945957630783,0.7150486862499028,0.06581740976645434,0.0013170388067011984
13,8,0.01375,0.9895721494800099,0.9981572727636903,0.13615023474178445,0.7565931690445308,0.7591385134329109,0.07855626326963905,0.2468375754234433
4,20,0.01308,0.4343295643863746,0.18151664463405837,0.29577464788732444,0.799827064418504,0.802458366066289,0.17622080679405516,0.0008269778553700036
13,4,0.01102,0.9901294866323778,0.9993830869687137,0.11267605633802846,0.7431906614785991,0.7457834675402588,0.06369426751592355,0.2457043094734903
1,24,0.01219,0.8448794102717238,0.7834955734487041,0.15023474178403795,0.7328145265888456,0.735533479577889,0.09341825902335454,0.001592698091824829
7,4,0.01079,0.9893476655496246,0.9976635420422225,0.11737089201877948,0.7470817120622567,0.7496047102488166,0.06581740976645434,0.24518361971270153
16,8,0.0114,0.9900247577905625,0.999152746064175,0.018779342723004966,0.7025507998270645,0.7050897703567172,0.010615711252653925,0.24757266685043966
1,20,0.01626,0.989587175726765,0.9981903216760806,0.08920187793427248,0.7315175097276264,0.7341718175433605,0.05095541401273884,0.24754203804098118
10,16,0.01015,0.9861739405539822,0.9906721948483757,0.10798122065727744,0.7215737137916126,0.7243139743657036,0.06794055201698512,0.0011638947594105886
16,4,0.00913,0.9866520484052781,0.9913732323839283,0.18309859154929597,0.7492434068309554,0.752051277268486,0.11040339702760082,0.0006432049986209165
10,20,0.01129,0.886144215905856,0.8440011216600569,0.164319248826291,0.746649373108517,0.7492221088106343,0.09766454352441611,0.0012557811877851321
4,24,0.01105,0.5119633512573691,0.29534911669270525,0.24413145539906145,0.7782101167315175,0.7808808595605461,0.1443736730360934,0.0004288033324142404
13,16,0.00996,0.8903406368178016,0.8501542282578216,0.3615023474178405,0.8331171638564635,0.8360448728153869,0.21019108280254772,0.0014701828539926964
7,24,0.01094,0.5525287534061769,0.3548291471377639,0.38497652582159647,0.8439256376999568,0.8468479410880543,0.22505307855626322,0.0017458421391154388
13,20,0.01069,0.667230924999358,0.5230140608099988,0.27699530516431947,0.7937743190661478,0.7966265137591197,0.16560509554140124,0.0009801219026615016
1,4,0.01128,0.9864396319170595,0.9910617714217042,0.15023474178403795,0.7392996108949416,0.7420411743348179,0.09129511677282376,0.0011638947594105886
10,24,0.01236,0.932304845937258,0.9116852942354685,0.32863849765258246,0.8149589277993946,0.8179758475250849,0.195329087048832,0.0005513185702472612
10,12,0.01163,0.9865823812612322,0.9912710812001763,0.15023474178403795,0.7414613056636402,0.7441706419765832,0.09129511677282376,0.0003369169040396969
13,24,0.01553,0.9862251663951925,0.9907473060128991,0.34741784037558743,0.8236057068741892,0.8266928270038534,0.20382165605095537,0.0007657202364539373
13,12,0.00879,0.9863781609076072,0.9909716380242759,0.23943661971830998,0.7717250324254216,0.7744738037306675,0.1422505307855626,0.00039817452295576317
16,24,0.01125,0.5504305429502041,0.3517525938388816,0.20187793427230094,0.7565931690445308,0.7592391523599611,0.12101910828025475,0.0005819473797048502
16,12,0.01296,0.9897360721718829,0.998517806353403,0.0,0.6926070038910505,0.6950935486543663,0.0,0.2453980213789091
7,16,0.00948,0.9784654759686602,0.9793694668108801,0.22065727699530546,0.7661046260268051,0.7687039831759475,0.13163481953290868,0.0
1,12,0.01417,0.9896154059463503,0.9982524135720867,0.06572769953051694,0.7224383916990921,0.7250882868001203,0.03609341825902335,0.24696009066127544
4,16,0.01126,0.914120355318827,0.8850218323118215,0.15023474178403795,0.7427583225248594,0.7455565961659172,0.09341825902335454,6.125761891606629e-05
4,12,0.01354,0.9900320427881939,0.9991687697792734,0.07511737089201898,0.7276264591439688,0.7303392963343571,0.04033970276008492,0.2466844313761527
1,16,0.01083,0.9861780386212791,0.9906782037415375,0.17840375586854496,0.7462170341547772,0.7489431828188529,0.10615711252653925,0.00018377285674908705
7,12,0.01051,0.986477197533947,0.9911168529423547,0.1737089201877935,0.7457846952010375,0.7484239380098914,0.10615711252653925,0.0016539557107417835
1,8,0.01394,0.9897233217185,0.9984897648519809,0.07981220657277,0.7315175097276264,0.7341019775982953,0.0424628450106157,0.24858341756255875
7,8,0.01093,0.9897242328554623,0.9984917678163683,0.06572769953051694,0.7263294422827496,0.7287806943305146,0.03609341825902335,0.2473582651842321
4,8,0.02374,0.9899172969038829,0.9989163962664744,0.09859154929577496,0.7418936446173799,0.7444100932168061,0.05520169851380041,0.24545927899782516
