MaxTenuringThreshold,ParallelGCThreads,avgGCPause,avgPromotion,promotionTotal,totalHeapUsedMaxpc,totalHeapUsedMax,totalYoungUsedMax,totalYoungUsedMaxpc,totalTenuredUsedMax
13,4,0.00748,0.9742817336890537,0.9952156508264463,0.0,0.0,0.0,0.0,0.0006896551724140387
13,8,0.00721,0.7982744226347712,0.815426997245179,0.5714285714285716,0.5660377358490565,0.5713984593569155,0.5769230769230766,0.03793103448275881
4,20,0.00863,0.5776707339234499,0.5900826446280991,0.5714285714285716,0.5660377358490565,0.5714176215843327,0.5769230769230766,0.0006896551724140387
1,24,0.01017,0.06310788282297297,0.06446280991735542,0.4285714285714284,0.4339622641509431,0.42856321618825,0.4326923076923075,0.01379310344827589
16,16,0.00884,0.7982744226347712,0.815426997245179,0.1428571428571428,0.15094339622641506,0.14285440539608318,0.14423076923076916,0.038620689655172846
10,4,0.01688,0.9742959554805254,0.9952301782024793,0.5714285714285716,0.5660377358490565,0.5714176215843327,0.5769230769230766,0.015862068965517562
7,20,0.00975,0.6343050679617276,0.6479338842975206,0.5714285714285716,0.5660377358490565,0.5714176215843327,0.5769230769230766,0.015862068965517562
10,8,0.00647,0.5760536635598197,0.5884297520661157,0.1428571428571428,0.15094339622641506,0.14285440539608318,0.14423076923076916,0.0006896551724140387
16,20,0.00977,0.41909512534928983,0.42809917355371896,0.5714285714285716,0.5660377358490565,0.5714367838117504,0.5769230769230766,0.01379310344827589
13,16,0.00827,0.6726011919968184,0.687052341597796,0.5714285714285716,0.5660377358490565,0.5714367838117504,0.5769230769230766,0.002068965517241672
13,20,0.00919,0.5490849330654017,0.5608815426997245,0.22857142857142865,0.24528301886792425,0.23809067566013864,0.24038461538461497,0.026206896551724146
7,24,0.00995,0.4147785482711306,0.4236914600550964,0.0,0.0,0.0,0.0,0.03724137931034521
10,16,0.00925,0.1699030021148331,0.17355371900826444,0.4285714285714284,0.4339622641509431,0.42856321618825,0.4326923076923075,0.0006896551724140387
16,4,0.00825,0.9743170248012242,0.9952517002410468,0.5714285714285716,0.5660377358490565,0.5714176215843327,0.5769230769230766,0.015862068965517562
16,8,0.0074,0.6758379663891662,0.6903581267217631,0.4285714285714284,0.4339622641509431,0.42856321618825,0.4326923076923075,0.0
1,20,0.00973,0.19363495821690335,0.19779614325068873,0.4285714285714284,0.4339622641509431,0.42856321618825,0.4326923076923075,0.01379310344827589
10,20,0.01006,0.4363535326666649,0.44573002754820934,0.5714285714285716,0.5660377358490565,0.5714176215843327,0.5769230769230766,0.0006896551724140387
4,24,0.00937,0.4180153226634782,0.42699724517906334,0.5714285714285716,0.5660377358490565,0.5713984593569155,0.5769230769230766,0.026206896551724146
13,24,0.00965,0.8090619148325384,0.8264462809917354,0.5714285714285716,0.5660377358490565,0.5714176215843327,0.5769230769230766,0.040000000000000036
4,4,0.00618,0.974233800984464,0.9951666881887051,0.5714285714285716,0.5660377358490565,0.5713984593569155,0.5769230769230766,0.03724137931034521
13,12,0.00856,0.3457396516714556,0.353168044077135,0.4285714285714284,0.4339622641509431,0.42856321618825,0.4326923076923075,0.01379310344827589
7,4,0.0064,0.9744708308423251,0.9954088111225895,0.0,0.0,0.0,0.0,0.03931034482758644
10,24,0.01073,0.2675303332376435,0.2732782369146005,0.5714285714285716,0.5660377358490565,0.5714176215843327,0.5769230769230766,0.0006896551724140387
10,12,0.009,0.9742922683494031,0.9952264118457299,0.5714285714285716,0.5660377358490565,0.5713984593569155,0.5769230769230766,0.038620689655172846
16,24,0.01018,0.6364620396682635,0.6501377410468319,0.5714285714285716,0.5660377358490565,0.5713984593569155,0.5769230769230766,0.03931034482758644
1,4,0.00756,0.9843586630462551,0.995051545282369,0.0,0.0,0.0,0.0,0.026206896551724146
16,12,0.00927,0.5846815503859636,0.5972451790633608,0.4285714285714284,0.4339622641509431,0.42856321618825,0.4326923076923075,0.002068965517241672
1,12,0.00887,0.9223305829090938,0.9421487603305785,0.5714285714285716,0.5660377358490565,0.5714176215843327,0.5769230769230766,0.01379310344827589
1,8,0.00863,0.7518876794513549,0.7680440771349861,0.1428571428571428,0.15094339622641506,0.14285440539608318,0.14423076923076916,0.03724137931034521
4,16,0.00929,0.39104659216906024,0.3994490358126721,0.4285714285714284,0.4339622641509431,0.42856321618825,0.4326923076923075,0.01379310344827589
7,16,0.00984,0.0,0.0,0.4285714285714284,0.4339622641509431,0.4285823784156668,0.4326923076923075,0.02206896551724169
7,12,0.00809,0.70496366859012,0.7201101928374656,0.5714285714285716,0.5660377358490565,0.5714176215843327,0.5769230769230766,0.026206896551724146
7,8,0.00665,0.9261072586443472,0.9460055096418732,0.4285714285714284,0.4339622641509431,0.42856321618825,0.4326923076923075,0.03517241379310354
4,12,0.00803,0.9784250156044656,0.9994490358126721,0.5714285714285716,0.5660377358490565,0.5713984593569155,0.5769230769230766,0.0006896551724140387
4,8,0.00619,0.9503791160893234,0.9707988980716252,0.20000000000000018,0.18867924528301883,0.19045337830069364,0.19230769230769207,0.03931034482758644
1,16,0.009,0.13214677942264796,0.13498622589531684,0.4285714285714284,0.4339622641509431,0.42856321618825,0.4326923076923075,0.002068965517241672
