MaxTenuringThreshold,ParallelGCThreads,avgGCPause,avgPromotion,promotionTotal,totalHeapUsedMaxpc,totalHeapUsedMax,totalYoungUsedMax,totalYoungUsedMaxpc,totalTenuredUsedMax
16,4,0.01004,0.9926787112507247,0.9907061771421705,0.07042253521126751,0.01599654128837008,0.01626706794992866,0.9808917197452227,0.6074611779840113
16,8,0.00845,0.9913010776277764,0.9906943406241238,0.07042253521126751,0.01599654128837008,0.01626706794992866,0.9808917197452227,0.5166161291310605
1,20,0.00875,0.9944960907170034,0.9907217902495694,0.07511737089201898,0.017293558149589272,0.01616816417679312,0.9808917197452227,1.0
4,24,0.01219,0.9941372297939328,0.9907129952329448,0.13145539906103298,0.02550799827064415,0.018432973823901855,0.9363057324840764,0.7176023767956137
7,24,0.0129,0.9925810829935126,0.9907007400953411,0.12676056338028197,0.02507565931690442,0.018432540035423106,0.9363057324840764,0.5383013262274492
10,4,0.00858,0.9916409904536889,0.9906972609462004,0.10798122065727744,0.022481625594466037,0.01843384140085913,0.9363057324840764,0.5843364268430875
7,20,0.01017,0.9928648154148528,0.9907173777190241,0.13615023474178445,0.02680501513186334,0.018432973823901855,0.9363057324840764,0.6610003369169037
10,8,0.0084,0.9928592543375311,0.9907077274366062,0.07981220657277,0.017725897103329002,0.01626706794992866,0.9808917197452227,0.8046800820852091
13,4,0.01048,0.9925024943569614,0.9907046629010936,0.07511737089201898,0.01686121919584954,0.01626706794992866,0.9808917197452227,0.731538485099084
13,8,0.0094,0.9920404372692447,0.990700693025678,0.11737089201877948,0.023346303501945498,0.018433407612380492,0.9363057324840764,0.5330944286195596
4,20,0.00978,0.9924430382305967,0.9907086508031887,0.13145539906103298,0.02594033722438388,0.01843167245846583,0.9363057324840764,0.6857177861496515
1,24,0.01254,0.9924421202635222,0.9906996454753034,0.1220657276995305,0.02464332036316469,0.018432540035423106,0.9363057324840764,0.5517473735795884
1,8,0.00878,0.9917892380381514,0.9907025657973801,0.023474178403755985,0.0,0.0,0.9787685774946921,0.65049465527275
7,8,0.00843,0.9923002356115491,0.9907073218363177,0.07042253521126751,0.01599654128837008,0.016133894886978528,0.9193205944798302,0.6457778186161898
4,8,0.00925,0.9927343766648399,0.9907066548491767,0.1220657276995305,0.02464332036316469,0.018433407612380492,0.9363057324840764,0.6230818708076811
4,12,0.00744,0.9931966618783028,0.9907055882706406,0.13145539906103298,0.02594033722438388,0.018361398724922096,0.9363057324840764,0.7050139361083039
4,4,0.00891,0.991498126363632,0.9906960341305132,0.11267605633802846,0.022913964548205767,0.018315850934662314,0.9363057324840764,0.505222212012618
1,16,0.00765,0.9917190463414914,0.9907019128309899,0.04694835680751197,0.0077821011673151474,0.008025086855298125,0.9808917197452227,0.6034181751355323
16,16,0.0098,0.9945893217480061,0.9907225914353243,0.13145539906103298,0.02594033722438388,0.018432973823901855,0.9363057324840764,0.7194094765536461
7,12,0.01,0.9922759627589501,0.9906983375395585,0.1220657276995305,0.02464332036316469,0.01842993730455117,0.9363057324840764,0.5616711078440382
16,20,0.01,0.9925663039968178,0.9907006239234066,0.1220657276995305,0.02464332036316469,0.018432973823901855,0.9363057324840764,0.5340745505222211
7,4,0.01013,0.9920678724637745,0.9907009283739935,0.1220657276995305,0.02421098140942496,0.01843384140085913,0.9363057324840764,0.6002327789518818
13,16,0.00959,0.9943063269787792,0.9907201608380403,0.13145539906103298,0.02550799827064415,0.018432973823901855,0.9363057324840764,0.7497626267266986
13,20,0.01013,0.992835506037546,0.9907123042102312,0.1220657276995305,0.02464332036316469,0.018433407612380492,0.9363057324840764,0.727127936537106
7,16,0.00817,0.9922335026836877,0.9907023514801907,0.1220657276995305,0.02421098140942496,0.018432973823901855,0.9363057324840764,0.5895126956415204
10,16,0.00858,0.9928121265636176,0.9907073228377999,0.11737089201877948,0.02377864245568523,0.01841779122714854,0.9363057324840764,0.7073723544365826
1,12,0.00722,0.9921777225236883,0.9907018727717021,0.05164319248826299,0.008646779074794608,0.008025086855298125,0.9808917197452227,0.625991607706208
10,20,0.00862,0.9926018724889093,0.9907055161639227,0.11737089201877948,0.02377864245568523,0.018432973823901855,0.9363057324840764,0.573493828294894
1,4,0.00998,0.9917730383781271,0.9906983956255258,0.04694835680751197,0.0077821011673151474,0.008025086855298125,0.9808917197452227,0.5903703023063489
4,16,0.00973,0.9927516800709895,0.9907068040700236,0.12676056338028197,0.02507565931690442,0.018429503516072476,0.9363057324840764,0.6460228490918549
13,24,0.01119,0.9928999194593174,0.990712903096583,0.1455399061032865,0.028102031993082532,0.018432973823901855,0.9363057324840764,0.9691874176850748
13,12,0.00881,0.993316758472481,0.9907116582542163,0.07042253521126751,0.01599654128837008,0.01626706794992866,0.9808917197452227,0.6934056173236538
10,24,0.01088,0.9953811803635915,0.990722791731763,0.15023474178403795,0.02896670990056205,0.018357494628614135,0.9363057324840764,0.8766577843119236
10,12,0.00947,0.9928536659397607,0.9907028862716821,0.11267605633802846,0.022913964548205767,0.018433407612380492,0.9363057324840764,0.6325155441207997
16,24,0.01142,0.9947641111483276,0.9907179325401594,0.14084507042253547,0.02723735408560307,0.018430371093029807,0.9363057324840764,0.9205488682654899
16,12,0.0082,0.9941158815953612,0.9907185244161358,0.08450704225352146,0.018158236057068733,0.01626706794992866,0.9808917197452227,0.7482311862537907
