MaxTenuringThreshold,ParallelGCThreads,MaxHeapSize,fullGCPause,avgPause,fullGcPauseCount,footprint,gcPerformance,totalTenuredUsedMax,avgPromotion,fullGCPerformance,throughput
13,4,16,3386.0,-126362.0,0.04358,5.0,0.41,1508.0,99.71,19373.219,5045.342
7,4,8,3411.0,-35840.0,0.03963,5.0,0.36,1508.0,99.75,15850.652,5699.084
4,8,4,3411.0,-9011.0,0.04158,5.0,0.38,1508.0,99.71,17283.71,5322.079
1,16,4,3357.0,-319693.0,0.04367,5.0,0.39,1508.0,99.71,12842.732,5228.798
4,20,16,3374.0,-265626.0,0.04653,5.0,0.42,1508.0,99.7,12407.737,4897.834
13,8,16,3374.0,-96256.0,0.04362,5.0,0.4,1508.0,99.72,16260.389,5117.774
4,12,8,3411.0,-154010.0,0.04567,5.0,0.41,1508.0,99.69,13797.853,4939.498
16,20,16,3355.0,-239821.0,0.04564,5.0,0.41,1508.0,99.69,12564.703,4997.572
7,12,2,3411.0,-150528.0,0.04436,5.0,0.41,1508.0,99.7,15234.549,5050.978
1,16,8,3392.0,-176947.0,0.04591,5.0,0.42,1508.0,99.7,13356.1,4918.915
16,16,16,3355.0,-81510.0,0.04557,5.0,0.41,1508.0,99.7,11672.24,5010.459
7,8,32,4747.0,-205.0,0.04077,5.0,0.38,1508.0,99.73,21838.576,8175.562
7,24,32,4803.0,-96870.0,0.04819,5.0,0.44,1508.0,99.68,15105.544,7050.205
7,12,8,3355.0,-118170.0,0.05041,5.0,0.46,1508.0,99.65,13472.383,4435.8
16,4,32,4777.0,-306176.0,0.04239,5.0,0.39,1508.0,99.71,16248.192,7975.678
1,20,32,4719.0,68.0,0.04834,5.0,0.43,1508.0,99.68,13906.094,9450.941
16,8,32,4804.0,-410.0,0.04296,5.0,0.4,1508.0,99.72,20275.184,7772.276
4,12,2,3405.0,-144179.0,0.0449,5.0,0.41,1508.0,99.69,14201.907,5018.243
1,16,2,3408.0,-101786.0,0.03521,5.0,0.31,1508.0,99.7,12944.279,6590.846
4,24,32,4724.0,52.8,0.04665,5.0,0.42,1508.0,99.69,13810.346,9844.071
4,8,32,4795.0,-56115.0,0.0395,5.0,0.36,1508.0,99.74,20607.215,8502.088
1,4,2,3410.0,-98918.0,0.04107,5.0,0.37,1508.0,99.7,14958.572,5464.554
10,20,16,3358.0,-81101.0,0.04637,5.0,0.42,1508.0,99.69,13192.19,4876.411
13,4,32,4724.0,-56730.0,0.04074,5.0,0.38,1508.0,99.72,24831.83,8096.931
4,20,32,4777.0,-76595.0,0.04663,5.0,0.41,1508.0,99.69,12514.51,9962.931
13,8,32,4747.0,9421.0,0.03979,5.0,0.36,1508.0,99.74,19250.422,8492.405
1,12,2,3357.0,8602.0,0.04255,5.0,0.38,1508.0,99.71,13459.923,5352.08
7,16,8,3355.0,-268288.0,0.04687,5.0,0.42,1508.0,99.69,12939.333,4829.3
10,16,16,3411.0,-168346.0,0.0443,5.0,0.4,1508.0,99.7,11612.336,5182.54
4,16,2,3392.0,-279142.0,0.04109,5.0,0.37,1508.0,99.58,13574.129,5560.277
1,8,32,4777.0,-15155.0,0.04119,5.0,0.38,1508.0,99.73,19581.402,8163.135
1,24,32,4804.0,1843.0,0.04611,5.0,0.42,1508.0,99.7,15992.758,9798.645
4,4,2,3354.0,-129638.0,0.03733,5.0,0.34,1508.0,99.71,15397.73,6099.886
1,12,8,3392.0,-111411.0,0.0441,5.0,0.4,1508.0,99.7,14173.228,5123.587
13,20,16,3405.0,-205210.0,0.05287,5.0,0.48,1508.0,99.64,11304.553,4285.541
10,4,32,4752.0,-4096.0,0.04126,5.0,0.38,1508.0,99.73,22038.48,8059.29
10,8,32,4720.0,-109363.0,0.04117,5.0,0.38,1508.0,99.73,20426.287,8128.167
7,20,32,4748.0,19.0,0.04687,5.0,0.42,1508.0,99.69,13714.105,9793.49
4,16,8,3411.0,-89702.0,0.04654,5.0,0.42,1508.0,99.68,14191.244,4830.485
7,16,2,3380.0,-137421.0,0.0536,5.0,0.49,1508.0,99.24,13323.378,4152.97
13,16,16,3355.0,-114893.0,0.04662,5.0,0.42,1508.0,99.69,13341.199,4851.689
7,4,2,3376.0,142.6,0.03331,5.0,0.3,1508.0,99.62,16745.1,6862.604
