MaxTenuringThreshold,ParallelGCThreads,avgGCPause,avgPromotion,promotionTotal,totalHeapUsedMaxpc,totalHeapUsedMax,totalYoungUsedMax,totalYoungUsedMaxpc,totalTenuredUsedMax
1,24,0.01056,301.0,602.0,60.6,2880.0,2713.603,72.5,166.459
1,4,0.01044,-378880.0,-378880.0,59.4,2883.0,2716.83,70.6,166.416
13,8,0.00775,-152576.0,-152576.0,61.5,3005.0,2839.14,73.2,166.426
4,20,0.012,-175104.0,-350208.0,62.5,2971.0,2804.69,74.9,166.46
13,4,0.00893,-398848.0,-797696.0,62.2,3036.0,2869.874,74.1,166.435
7,20,0.01103,-256512.0,-513024.0,62.7,2976.0,2809.629,75.1,166.427
10,8,0.01033,-219648.0,-439296.0,59.4,2889.0,2723.222,70.6,166.417
10,4,0.01045,-43008.0,-86016.0,60.9,2965.0,2799.165,72.6,166.423
7,24,0.01067,61.0,122.0,61.9,2940.0,2774.206,74.1,166.482
7,4,0.00974,-123904.0,-247808.0,61.0,2978.0,2812.223,72.5,166.489
4,24,0.01253,89.5,179.0,61.8,2936.0,2769.765,74.0,166.449
4,4,0.01098,110.0,110.0,60.1,2936.0,2770.299,71.5,166.499
16,8,0.00962,33.0,33.0,61.0,2980.0,2814.317,72.5,166.421
1,20,0.00819,241.0,241.0,57.8,2745.0,2578.802,68.9,166.446
16,4,0.0104,-323072.0,-646144.0,62.5,3045.0,2878.801,74.4,166.422
16,12,0.01012,-545792.0,-545792.0,63.4,3100.0,2933.89,75.6,166.447
16,24,0.01299,112.5,225.0,64.0,3041.0,2874.874,76.8,166.503
4,8,0.01187,-494592.0,-989184.0,60.5,2947.0,2780.917,72.0,166.448
7,8,0.01052,-292864.0,-292864.0,60.5,2957.0,2790.975,71.9,166.447
10,12,0.00915,-721920.0,-721920.0,63.7,3026.0,2859.69,76.4,166.423
10,24,0.01309,460.0,920.0,62.0,2943.0,2777.149,74.2,166.415
13,12,0.01041,35.0,35.0,60.4,2958.0,2792.413,71.8,166.5
13,24,0.01119,-251392.0,-502784.0,62.7,2980.0,2814.149,75.2,166.434
1,8,0.00987,146.0,146.0,58.7,2870.0,2704.396,69.7,166.419
4,16,0.01235,-253440.0,-506880.0,61.3,2913.0,2747.562,73.4,166.414
10,20,0.00912,-287232.0,-574464.0,62.8,2985.0,2818.57,75.3,166.444
1,12,0.01053,-55296.0,-55296.0,62.9,3060.0,2894.357,75.0,166.473
10,16,0.00944,754.5,1509.0,62.4,2963.0,2797.33,74.7,166.471
7,16,0.00999,190.0,380.0,62.2,2954.0,2788.236,74.5,166.476
13,20,0.01159,-257024.0,-514048.0,62.0,2944.0,2777.648,74.2,166.42
13,16,0.01176,-48640.0,-97280.0,65.4,3106.0,2940.271,78.6,166.505
16,20,0.0109,471.5,943.0,61.1,2904.0,2738.088,73.2,166.428
7,12,0.01076,176.0,176.0,63.3,3083.0,2917.488,75.5,166.489
16,16,0.01074,-263680.0,-527360.0,63.4,3010.0,2843.654,76.0,166.418
1,16,0.00903,-209920.0,-209920.0,62.5,2970.0,2804.21,74.9,166.452
4,12,0.00932,-128000.0,-128000.0,60.5,2945.0,2779.226,72.0,166.486
